1,70,1
2,30,2
3,10,3
4,5,4
5,2,5
6,70,2
7,30,3
8,10,4
9,5,5
10,1,6
11,100,1
12,30,2
13,10,3
14,5,4
15,2,5
16,70,2
17,30,3
18,10,4
19,5,5
20,2,6
21,70,1
22,30,2
23,10,3
24,5,4
25,2,5
26,90,1
27,30,2
28,10,3
29,5,4
30,2,5
31,90,2
32,30,3
33,10,4
34,5,5
35,1,6
36,120,1
37,30,2
38,10,3
39,5,4
40,2,5
41,90,2
42,30,3
43,10,4
44,5,5
45,2,6
46,90,1
47,30,2
48,10,3
49,5,4
50,2,5
51,100,1
52,30,2
53,10,3
54,5,4
55,2,5
56,100,2
57,30,3
58,10,4
59,5,5
60,1,6
61,150,1
62,30,2
63,10,3
64,5,4
65,2,5
66,100,2
67,30,3
68,10,4
69,5,5
70,2,6
71,100,1
72,30,2
73,10,3
74,5,4
75,2,5
76,85,1
77,30,2
78,10,3
79,5,4
80,2,5
81,85,2
82,30,3
83,10,4
84,5,5
85,1,6
86,115,1
87,30,2
88,10,3
89,5,4
90,2,5
91,85,2
92,30,3
93,10,4
94,5,5
95,2,6
96,85,1
97,30,2
98,10,3
99,5,4
100,2,5
101,100,1
102,30,2
103,10,3
104,5,4
105,2,5
106,100,2
107,30,3
108,10,4
109,5,5
110,1,6
111,135,1
112,30,2
113,10,3
114,5,4
115,2,5
116,100,2
117,30,3
118,10,4
119,5,5
120,2,6
121,100,1
122,30,2
123,10,3
124,5,4
125,2,5
126,120,1
127,30,2
128,10,3
129,5,4
130,2,5
131,120,2
132,30,3
133,10,4
134,5,5
135,1,6
136,180,1
137,30,2
138,10,3
139,5,4
140,2,5
141,120,2
142,30,3
143,10,4
144,5,5
145,2,6
146,120,1
147,30,2
148,10,3
149,5,4
150,2,5
